Hostname,Last Seen,First Seen,Platform,OS Version,OS Build,OS Product Name,Kernel Version,Model,Manufacturer,Type,Chassis,Last Reboot,OU,Site,Prevention Policy,Response Policy,Sensor Update Policy,USB Device Policy,Kubernetes Admission Control Policy,Host ID,Local IP,Connection IP,Default Gateway IP,External IP,Domain,MAC Address,Connection MAC Address,Status,CPUID,Serial Number,Sensor Version,Sensor Tags,Cloud Service Provider,Cloud Service Account ID,Cloud Service Instance ID,Cloud Service Zone/Group,Kubernetes Cluster ID,Kubernetes Server Git Version,Kubernetes Server Version,RFM,Linux Sensor Mode,Deployment Type,Email,Pod ID,Pod Name,Pod Namespace,Pod Labels,Pod Annotations,Pod IP4,Pod IP6,Pod Hostname,Pod Host IP4,Pod Host IP6,Pod Service Account Name,Host Groups
LOFT-M3570,2023-10-04T20:04:33Z,2023-02-14T19:39:37Z,Mac,Monterey (12),21G816,,21.6.0,"MacBookPro16,1",Apple Inc.,Workstation,Laptop,,,,"General-Prevention-Mac
13 Sep 23 18:53 UTC","General-Response-Mac
14 Feb 23 19:40 UTC","General-Sensor-Mac
19 Sep 23 14:32 UTC",No policy,No policy,517ac12093b64fabaabb5a9d9bec9df0,192.168.15.3,54.215.176.108,,177.76.33.128,,88-66-5a-31-5d-5a,,normal,591594,C02FK996MD6M,6.58.17102.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Mac,LF_Mac_Scan_Agendado"
CP-CWB-W1368,2023-10-04T19:55:43Z,2023-09-26T18:13:26Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Aspire A515-54,Acer,Workstation,Laptop,2023-09-29T11:10:19Z,,,"General-Prevention-Windows-Workstation
26 Sep 23 18:14 UTC","General-Response-Windows
26 Sep 23 18:14 UTC","General-Sensor-Windows
26 Sep 23 18:22 UTC",No policy,No policy,daba0b938b0c4916af306df3e39326c9,192.168.137.1,10.111.140.74,10.111.140.1,200.170.190.57,,f6-b3-01-ea-91-92,f4-b3-01-ea-91-92,normal,526060,NXAX0AL00621401BAF9Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W6343,2023-10-04T19:55:50Z,2023-04-18T19:46:27Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3448,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-28T17:37:23Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:16 UTC","General-Response-Windows
18 Apr 23 19:48 UTC","General-Sensor-Windows
29 Aug 23 18:55 UTC",No policy,No policy,512ccc903aa04590a211de0a21ad3d3f,192.168.15.29,2804:18:1057:492a:61f8:3ceb:8d32:d93f,fe80:0:0:0:9850:2eff:fe35:9b64,187.72.41.41,,00-d7-6d-5c-67-55,00-d7-6d-5c-67-55,normal,526017,899VPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-W2487,2023-10-04T20:07:04Z,2023-08-16T21:53:52Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2361,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-10-02T13:45:38Z,,,"General-Prevention-Windows-Workstation
27 Sep 23 11:25 UTC","General-Response-Windows
16 Aug 23 21:54 UTC","General-Sensor-Windows
27 Sep 23 11:32 UTC",No policy,No policy,256abe42613a486fac5b016ac1041f6b,10.111.140.204,10.111.140.204,10.111.140.1,200.170.190.57,,5c-cd-5b-d7-a9-06,5c-cd-5b-d7-a9-06,normal,526060,H33MWC3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-W2246,2023-09-30T18:24:27Z,2022-12-21T20:02:01Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-09-19T22:08:57Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:15 UTC","General-Response-Windows
21 Dec 22 20:06 UTC","General-Sensor-Windows
30 Aug 23 16:41 UTC",No policy,No policy,58aa756e050f40998fd74dc271258838,10.220.100.12,192.168.0.19,192.168.0.1,200.170.190.57,,00-09-0f-aa-00-01,70-cf-49-e4-65-83,normal,526060,8VVF4F3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W2267,2023-10-04T19:50:18Z,2022-11-24T15:49:22Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3448,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-09-29T13:28:20Z,,,"General-Prevention-Windows-Workstation
14 Sep 23 12:13 UTC","General-Response-Windows
24 Nov 22 15:49 UTC","General-Sensor-Windows
29 Aug 23 14:59 UTC",No policy,No policy,72aec6d114e2493fbb70e24af7077a79,10.125.131.217,10.125.131.217,10.125.128.1,177.190.196.142,,70-cf-49-e4-65-6a,70-cf-49-e4-65-6a,normal,526060,HYVF4F3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-CWB-W0669,2023-09-15T14:13:45Z,2022-11-30T15:02:07Z,Windows,Windows 10,19045,Windows 10 Home Single Language,10.0.19045.3208,Aspire A315-56,Acer,Workstation,Laptop,2023-08-03T12:27:54Z,,,"General-Prevention-Windows-Workstation
15 Sep 23 12:22 UTC","General-Response-Windows
30 Nov 22 18:39 UTC","General-Sensor-Windows
29 Aug 23 14:59 UTC",No policy,No policy,59570f03c4c34a4e8530f35292069e37,10.111.140.91,10.111.140.91,10.111.140.1,200.170.190.57,,a4-63-a1-5f-de-cc,a4-63-a1-5f-de-cc,normal,460517,NXHV1AL00E1125D1729501,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-M3055,2023-10-04T20:01:56Z,2023-08-04T17:29:22Z,Mac,Ventura (13),22G120,,22.6.0,"MacBookPro18,1",Apple Inc.,Workstation,Other,,,,"General-Prevention-Mac
13 Sep 23 18:50 UTC","General-Response-Mac
04 Aug 23 17:30 UTC","General-Sensor-Mac
19 Sep 23 14:54 UTC",No policy,No policy,e3da7c88eb114092842b32a413da6b51,192.168.106.1,,,201.49.69.22,,be-d0-74-e3-73-64,,normal,4294967295,TCXYHG3YQ2,6.58.17102.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Mac,LF_Mac_Scan_Agendado"
CP-W2275,2023-10-04T20:01:18Z,2023-09-28T19:51:09Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2361,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-10-02T13:16:55Z,,,"General-Prevention-Windows-Workstation
28 Sep 23 19:52 UTC","General-Response-Windows
28 Sep 23 19:52 UTC","General-Sensor-Windows
28 Sep 23 19:56 UTC",No policy,No policy,6cd96ba7e79547c3b3dfa54e18078f7c,192.168.43.169,192.168.43.169,192.168.43.104,200.170.190.57,,70-cf-49-e5-6b-db,70-cf-49-e5-6b-db,normal,526060,CWVF4F3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-M3499,2023-10-04T20:00:57Z,2022-11-21T15:57:32Z,Mac,Ventura (13),22G120,,22.6.0,"MacBookPro16,1",Apple Inc.,Workstation,Laptop,,,,"General-Prevention-Mac
22 Sep 23 14:07 UTC","General-Response-Mac
21 Nov 22 15:58 UTC","General-Sensor-Mac
22 Sep 23 14:07 UTC",No policy,No policy,d4e1b107d88d4ed49977e1dedd96597a,192.168.0.3,,,177.34.169.254,,88-66-5a-4a-91-20,,normal,591594,C02G50EDMD6M,6.58.17102.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Mac,LF_Mac_Scan_Agendado"
CP-CWB-W1238,2023-09-06T19:19:55Z,2023-03-10T19:58:44Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Aspire A515-54,Acer,Workstation,Laptop,2023-08-29T01:21:52Z,,,"General-Prevention-Windows-Workstation
28 Jun 23 20:35 UTC","General-Response-Windows
10 Mar 23 19:59 UTC","General-Sensor-Windows
29 Aug 23 14:59 UTC",No policy,No policy,150eee582fda4c20b31170a172907820,10.111.100.66,10.111.100.66,10.111.100.1,200.170.190.57,,70-69-79-a5-8d-dd,70-69-79-a5-8d-dd,normal,526060,NXHQMAL013202013F89Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W6354,2023-09-18T07:09:08Z,2023-03-24T17:43:07Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-11T22:50:11Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:18 UTC","General-Response-Windows
24 Mar 23 17:44 UTC","General-Sensor-Windows
29 Aug 23 14:47 UTC",No policy,No policy,173c1d8356bd4b9cb02294cac49f92e9,192.168.0.7,192.168.0.7,192.168.0.1,189.62.150.138,,00-d7-6d-5f-a9-0b,00-d7-6d-5f-a9-0b,normal,526017,2YJXPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-M3565,2023-10-04T19:47:23Z,2022-07-07T18:56:28Z,Mac,Monterey (12),21G726,,21.6.0,"MacBookPro16,1",Apple Inc.,Workstation,Laptop,,,,"General-Prevention-Mac
13 Sep 23 18:51 UTC","General-Response-Mac
07 Jul 22 18:57 UTC","General-Sensor-Mac
19 Sep 23 14:43 UTC",No policy,No policy,d81b3e83031d4e57b489a98a2103fdee,192.168.15.49,52.8.61.206,,170.238.198.6,,88-66-5a-51-b5-bc,,normal,591594,C02G50H0MD6M,6.58.17102.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Mac,LF_Mac_Scan_Agendado"
CP-CWB-W0984,2023-10-04T19:51:11Z,2023-09-13T18:45:34Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Aspire A515-54,Acer,Workstation,Laptop,2023-09-15T13:53:02Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:16 UTC","General-Response-Windows
13 Sep 23 18:49 UTC","General-Sensor-Windows
13 Sep 23 18:52 UTC",No policy,No policy,aeb70e19f62b43ed80a6a85973c7d958,10.111.140.249,10.111.140.249,10.111.140.1,200.170.190.57,,d8-f3-bc-6d-47-e5,d8-f3-bc-6d-47-e5,normal,526060,NXHQMAL00T1380284A9Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-M3172,2023-10-04T20:05:12Z,2023-07-06T17:27:14Z,Mac,Ventura (13),22G120,,22.6.0,"MacBookPro18,1",Apple Inc.,Workstation,Other,,,,"General-Prevention-Mac
15 Sep 23 13:33 UTC","General-Response-Mac
06 Jul 23 17:28 UTC","General-Sensor-Mac
19 Sep 23 14:33 UTC",No policy,No policy,a78e0d2b60ab483288ad7e1d631e1bc5,192.168.0.3,54.215.176.108,,177.35.31.133,,bc-d0-74-44-96-4f,,normal,4294967295,MXYHX9MXY1,6.58.17102.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Mac,LF_Mac_Scan_Agendado"
LOFT-W6521,2023-10-04T20:03:56Z,2023-03-24T13:37:04Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-30T16:51:36Z,,,"General-Prevention-Windows-Workstation
18 Sep 23 11:15 UTC","General-Response-Windows
27 Mar 23 16:47 UTC","General-Sensor-Windows
29 Aug 23 14:39 UTC",No policy,No policy,a27150b826aa4215aa2f04c0c2a8b985,192.168.15.11,192.168.15.11,192.168.15.1,191.193.178.9,,00-d7-6d-5c-66-5b,00-d7-6d-5c-66-5b,normal,526017,4C9VPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-CWB-W1340,2023-10-04T20:06:28Z,2022-12-15T19:07:19Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Aspire A515-54,Acer,Workstation,Laptop,2023-10-02T11:35:56Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:16 UTC","General-Response-Windows
15 Dec 22 19:36 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,56f6250374bc455685c32c364265fbce,10.111.140.80,10.111.140.80,10.111.140.1,200.170.190.57,,5c-e4-2a-89-4e-46,5c-e4-2a-89-4e-46,normal,526060,NXHQMAL013202011599Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-W2203,2023-08-30T22:39:36Z,2023-08-11T19:36:18Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.963,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-08-11T19:36:01Z,,,"General-Prevention-Windows-Workstation
11 Aug 23 19:38 UTC","General-Response-Windows
11 Aug 23 19:38 UTC","General-Sensor-Windows
Changes pending",No policy,No policy,910302caadfa4050b0f6000f51e01152,10.111.110.20,10.111.110.20,10.111.110.1,200.170.190.57,,34-73-5a-b9-bd-30,34-73-5a-b9-bd-30,normal,526060,8WVF4F3,6.49.16303.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W6306,2023-10-02T12:54:15Z,2023-02-02T13:47:14Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3448,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-22T12:45:01Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:19 UTC","General-Response-Windows
02 Feb 23 14:02 UTC","General-Sensor-Windows
31 Aug 23 13:13 UTC",No policy,No policy,c94fd059648049788a4b106db4b160db,192.168.0.11,192.168.0.11,192.168.0.1,186.204.61.190,,00-d7-6d-5c-69-4e,00-d7-6d-5c-69-4e,normal,526017,379VPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CPCWB0609,2023-09-22T21:14:25Z,2023-09-14T02:47:11Z,Windows,Windows 10,19044,Windows 10 Home Single Language,10.0.19044.2846,Aspire A315-56,Acer,Workstation,Laptop,2023-04-17T03:02:13Z,,,"General-Prevention-Windows-Workstation
14 Sep 23 02:50 UTC","General-Response-Windows
14 Sep 23 02:50 UTC","General-Sensor-Windows
22 Sep 23 03:40 UTC",No policy,No policy,d93cada80dc84d1b9b81cdf9326c68e1,192.168.1.7,192.168.1.7,192.168.1.254,177.209.126.112,,80-30-49-41-c4-87,80-30-49-41-c4-87,normal,460517,NXHV1AL00B038217EC9501,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-W3010,2023-10-04T19:43:11Z,2022-11-11T16:02:51Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3448,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-10-03T18:56:38Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:18 UTC","General-Response-Windows
01 Dec 22 10:46 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,9833c449d5234574838562934328d410,10.111.100.79,10.111.100.79,10.111.100.1,200.170.190.57,,34-73-5a-e8-02-33,34-73-5a-e8-02-33,normal,526060,GYZ2XF3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-CWB-W1282,2023-10-04T19:48:17Z,2022-12-15T18:33:08Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.1848,Aspire A515-54,Acer,Workstation,Laptop,2023-09-26T03:12:24Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:18 UTC","General-Response-Windows
15 Dec 22 19:03 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,3a1bc8b4555e4f4bb3e8f158641ca1c1,192.168.0.53,192.168.0.53,192.168.0.1,200.170.190.57,,74-4c-a1-42-dd-81,74-4c-a1-42-dd-81,normal,526060,NXHQMAL00X13803EA69Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-M1002,2023-10-04T19:47:11Z,2023-07-05T20:29:00Z,Mac,Ventura (13),22G120,,22.6.0,"MacBookPro16,1",Apple Inc.,Workstation,Laptop,,,,"General-Prevention-Mac
13 Sep 23 18:50 UTC","General-Response-Mac
05 Jul 23 20:30 UTC","General-Sensor-Mac
21 Sep 23 21:28 UTC",No policy,No policy,5188b4e3532e4606bda25903f3a958de,192.168.0.18,52.8.61.206,,189.4.106.253,,5c-52-30-a1-13-e6,,normal,591594,C02ZK43EMD6P,6.58.17102.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Mac,LF_Mac_Scan_Agendado"
LOFT-M0076,2023-08-22T13:44:00Z,2023-08-22T13:43:59Z,Mac,Monterey (12),21C52,,21.2.0,"MacBookPro15,1",Apple Inc.,Workstation,Laptop,,,,"General-Prevention-Mac
Changes pending","General-Response-Mac
22 Aug 23 13:45 UTC","General-Sensor-Mac
22 Aug 23 13:45 UTC",No policy,No policy,03e1b813bf7a4e45901e9512f599ec5f,,,,187.72.41.41,,,,normal,591594,C02Z82LMLVCH,6.42.15503.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Mac
